                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.3575,                 1.4032,                 2.5451,                0.89968,                0.99861,                      1,                  0.995,                0.62962,                0.99861,                      1,                  0.995,                0.46963,                 1.3556,                 1.3902,                 1.2869,                0.98992,               0.070517,              0.0032759,              0.0032759
                      1,                 1.1588,                0.98297,                 1.4092,                0.85034,                 0.9991,                      1,                  0.995,                0.66535,                 0.9991,                      1,                  0.995,                0.52234,                 1.0649,                 2.1318,                 1.0479,                0.95627,               0.040386,              0.0064783,              0.0064783
                      2,                 1.3767,                0.85075,                 1.5384,                0.89984,                0.99933,                      1,                  0.995,                0.65932,                0.99933,                      1,                  0.995,                0.54529,                 1.3889,                 1.5396,                0.81904,                   1.03,               0.010124,              0.0095488,              0.0095488
                      3,                 1.7098,                  1.568,                  1.223,                0.89572,                0.99931,                      1,                  0.995,                0.59161,                0.99931,                      1,                  0.995,                0.71851,                 1.4366,                 1.3324,                0.68393,                 1.0508,               0.009406,               0.009406,               0.009406
                      4,                 1.6315,                 1.1071,                0.82596,                 0.9303,                0.99889,                      1,                  0.995,                0.53794,                0.99889,                      1,                  0.995,                0.55208,                 1.6012,                 1.9724,                0.69747,                 1.0486,               0.009406,               0.009406,               0.009406
                      5,                 1.4301,                0.88063,                 1.3324,                0.88415,                0.99862,                      1,                  0.995,                0.53049,                0.99862,                      1,                  0.995,                0.50587,                 1.7711,                  1.664,                0.99109,                 1.0952,               0.009208,               0.009208,               0.009208
                      6,                 1.4347,                0.88404,                0.90881,                0.89174,                0.99896,                      1,                  0.995,                0.63623,                0.99896,                      1,                  0.995,                0.66809,                 1.5119,                 1.8852,                0.69404,                 1.0548,                0.00901,                0.00901,                0.00901
                      7,                  1.699,                0.89932,                0.78579,                0.97875,                0.99865,                      1,                  0.995,                0.61976,                0.99865,                      1,                  0.995,                  0.548,                 1.4218,                   1.54,                0.74184,                  1.047,               0.008812,               0.008812,               0.008812
                      8,                 1.2859,                0.94466,                0.65022,                0.90278,                0.99913,                      1,                  0.995,                0.60883,                0.99913,                      1,                  0.995,                0.42196,                 1.4333,                 3.2019,                0.56735,                 1.0333,               0.008614,               0.008614,               0.008614
                      9,                 1.3498,                0.83233,                0.67658,                0.89113,                0.99907,                      1,                  0.995,                0.72085,                0.99907,                      1,                  0.995,                 0.5879,                 1.2733,                 1.5408,                0.67977,                 1.0019,               0.008416,               0.008416,               0.008416
                     10,                  1.211,                0.92997,                0.61234,                0.86268,                0.99926,                      1,                  0.995,                0.54004,                0.74985,                   0.75,                   0.87,                0.36581,                  1.324,                 1.9193,                0.79413,                 1.0083,               0.008218,               0.008218,               0.008218
